AMAT,2020-11-12,Oct 2020,1.17,1.25,0.08,6.8
AMCR,2020-11-05,Sep 2020,0.15,0.16,0.01,6.6
AMD,2020-10-27,Sep 2020,0.36,0.41,0.05,13.8
AME,2020-10-29,Sep 2020,0.95,1.01,0.06,6.3
AMED,2020-10-28,Sep 2020,1.27,2.24,0.97,76.3
AMG,2020-10-26,Sep 2020,2.86,3.27,0.41,14.3
AMGN,2020-10-28,Sep 2020,3.75,4.37,0.62,16.5
AMH,2020-11-05,Sep 2020,0.28,0.29,0.01,3.5
AMP,2020-10-28,Sep 2020,1.35,1.47,0.12,8.8
AMT,2020-10-29,Sep 2020,2.08,2.23,0.15,7.2
AMWL,2020-11-12,Sep 2020,-0.3,-0.92,-0.62,-206.6
AMZN,2020-10-29,Sep 2020,7.3,12.37,5.07,69.4
AN,2020-10-21,Sep 2020,1.63,2.38,0.75,46
ANET,2020-11-02,Sep 2020,2.23,2.42,0.19,8.5
ANSS,2020-11-04,Sep 2020,1.26,1.36,0.1,7.9
ANTM,2020-10-28,Sep 2020,4.04,4.2,0.16,3.9
AON,2020-10-30,Sep 2020,1.51,1.53,0.02,1.3
AOS,2020-10-29,Sep 2020,0.53,0.66,0.13,24.5
APA,2020-11-04,Sep 2020,-0.37,-0.16,0.21,56.7
APD,2020-11-11,Sep 2020,2.23,2.19,-0.04,-1.7
APH,2020-10-21,Sep 2020,0.44,0.55,0.11,25
APLE,2020-11-05,Sep 2020,0.06,-0.18,-0.24,-400
APO,2020-10-29,Sep 2020,0.49,0.47,-0.02,-4
APTV,2020-10-29,Sep 2020,0.79,1.13,0.34,43
ARD,2020-10-22,Sep 2020,0.44,0.48,0.04,9
ARE,2020-10-26,Sep 2020,1.83,1.83,0,0
ARES,2020-10-28,Sep 2020,0.42,0.48,0.06,14.2
ARMK,2020-11-17,Sep 2020,-0.31,-0.35,-0.04,-12.9
ARW,2020-10-29,Sep 2020,1.66,2.08,0.42,25.3
ASB,2020-10-22,Sep 2020,0.19,0.24,0.05,26.3
ASH,2020-11-10,Sep 2020,0.79,0.99,0.2,25.3
ATH,2020-11-03,Sep 2020,1.14,1.53,0.39,34.2
ATO,2020-11-11,Sep 2020,0.52,0.53,0.01,1.9
ATR,2020-10-29,Sep 2020,0.84,1,0.16,19
ATUS,2020-10-29,Sep 2020,0.23,0.34,0.11,47.8
ATVI,2020-10-29,Sep 2020,0.64,0.71,0.07,10.9
AVB,2020-10-28,Sep 2020,2.16,2.06,-0.1,-4.6
AVGO,2020-12-10,Oct 2020,6.26,6.35,0.09,1.4
AVLR,2020-11-05,Sep 2020,-0.09,0.02,0.11,122.2
AVT,2020-10-28,Sep 2020,0.12,0.36,0.24,200
AVTR,2020-10-27,Sep 2020,0.21,0.24,0.03,14.2
AVY,2020-10-21,Sep 2020,1.54,1.91,0.37,24
AWI,2020-10-27,Sep 2020,0.95,1.07,0.12,12.6
AWK,2020-11-04,Sep 2020,1.38,1.46,0.08,5.8
AXP,2020-10-23,Sep 2020,1.39,1.3,-0.09,-6.4
AXS,2020-10-28,Sep 2020,-0.87,-0.77,0.1,11.4
AXTA,2020-10-21,Sep 2020,0.33,0.59,0.26,78.7
AYI,2020-10-08,Aug 2020,1.96,2.35,0.39,19.9
AYX,2020-11-05,Sep 2020,0.12,0.39,0.27,225
AZEK,2020-12-03,Sep 2020,0.23,0.29,0.06,26
AZO,2020-09-22,Aug 2020,24.74,30.93,6.19,25
BA,2020-10-28,Sep 2020,-2.33,-1.39,0.94,40.3
